AccessLogID,IpAddress,EventCode,CreatedDate,Platform,Browser,AccessType,AccessLogUUID,CredentialID
1,171.123.63.181,PS0000,8/5/2022 15:38,Android,Safari,Register,c8b620ed-d91d-44cb-a2d1-83b5ce606336,
2,216.11.212.132,PS0001,5/2/2022 9:22,Desktop,Chrome,Visit,e4f7d57d-bec1-443c-b32b-539967d350ab,
3,55.79.55.3,PS0001,9/4/2022 5:23,Iphone,Baidu,Visit,ad374530-a57d-4269-8090-efd796b26237,
4,145.193.73.127,PS0000,7/2/2022 4:54,Iphone,Chrome,Register,34667613-fa98-4fd8-a9bb-98a0b25c1afe,
5,23.145.88.4,PS0001,22/4/2022 23:28,Desktop,Safari,Visit,a5a22578-fe12-48a5-800f-1a1948c36c21,
6,57.216.14.61,PS0002,16/2/2022 14:52,Iphone,Chrome,Register,fc403c67-4e92-4c9d-97e1-9f2e694b9a39,
7,224.67.128.81,PS0000,9/3/2022 17:41,Android,DuckDuckGo,Visit,e9318fe6-98e7-49fa-b663-affcaf776146,
8,158.31.191.98,PS0000,11/5/2022 15:44,Iphone,Chrome,Visit,24edd11d-8e55-416a-a98c-532f223f7e74,
9,194.188.174.173,PS0001,17/6/2022 2:58,Desktop,DuckDuckGo,Visit,5426d996-8379-44ee-ac58-f7e252dec484,
10,141.128.119.111,PS0000,17/4/2022 11:35,Android,Safari,Login,042e7d7e-125a-4779-9701-4641fc40e7ad,234
11,72.145.119.112,PS0001,26/7/2022 14:20,Iphone,Baidu,Visit,15b90f49-91c9-4eeb-bf41-be3c5ca3edba,
12,119.231.63.37,PS0002,6/4/2022 20:14,Desktop,Chrome,Login,34985fcf-165f-4806-a321-42d725c1e433,11
13,155.96.186.148,PS0002,1/7/2022 14:23,Iphone,Chrome,Register,82c33755-87d8-473f-943b-1aa407a098d6,
14,149.56.110.67,PS0001,13/3/2022 18:50,Desktop,Chrome,Register,c6e77a21-4a8e-41ef-95e0-d43e9ea7122f,
15,206.18.55.200,PS0001,19/3/2022 12:02,Iphone,Chrome,Visit,2902c0e1-e2aa-483c-a838-87b922a6b352,
16,15.25.252.6,PS0001,25/4/2022 5:31,Android,Chrome,Login,bd46a6c6-3b65-47d0-af00-f538c484c28c,72
17,208.107.202.71,PS0002,10/5/2022 12:17,Iphone,DuckDuckGo,Login,f38d5e3a-85a7-4aa3-871e-bcc7051bbe98,686
18,62.88.54.238,PS0002,28/2/2022 19:15,Android,Safari,Visit,b22210fb-b9e8-4336-a8fe-2f5f43b118b7,
19,233.56.23.55,PS0000,10/1/2022 22:29,Iphone,DuckDuckGo,Visit,7ed41e21-c992-46a1-94ff-8435bbd4ed52,
20,64.135.81.131,PS0000,4/4/2022 20:33,Iphone,Baidu,Register,2ee84097-416b-41aa-9686-3b23a90f4954,
21,54.120.12.7,PS0000,31/1/2022 19:55,Android,Chrome,Register,5ea7ef72-9dba-4080-bbb7-d03f01d8c381,
22,117.138.76.50,PS0000,9/7/2022 23:35,Iphone,Baidu,Login,c436082d-774c-4085-8fa4-a1d6dcaba39b,257
23,240.179.71.27,PS0000,30/7/2022 0:37,Iphone,Baidu,Register,a013d53f-d8ea-4d30-bc2e-4acf40a212d5,
24,234.201.54.235,PS0001,27/7/2022 4:49,Iphone,DuckDuckGo,Register,9d7b7b09-6e5d-4f91-b469-1a1784e68aff,
25,224.63.239.211,PS0000,2/4/2022 22:36,Iphone,DuckDuckGo,Visit,4e0f290f-f149-4c06-97f9-6d306f65f30e,
26,93.120.1.134,PS0001,31/3/2022 20:45,Iphone,Safari,Visit,28e781ee-f273-41bd-9c65-d48414755bc1,
